file	speaker	gender	dialect	sentence_number	nC_tier1	rateC_tier1	meanC_tier1	meanCLn_tier1	deltaC_tier1	deltaCLn_tier1	varcoC_tier1	rPVI_C_tier1	nPVI_C_tier1	nV_tier1	rateV_tier1	meanV_tier1	meanVLn_tier1	deltaV_tier1	deltaVLn_tier1	varcoV_tier1	rPVI_V_tier1	nPVI_V_tier1	percentV_tier1	nCV_tier1	rateCV_tier1	meanCV_tier1	meanCVLn_tier1	deltaCV_tier1	deltaCVLn_tier1	varcoCV_tier1	rPVI_CV_tier1	nPVI_CV_tier1
18m_be_171	18	m	be	171	9	9.660000371461866	0.1035196647563553	-2.5597518422659267	0.07957993512297681	0.8607032869946967	0.7687422028488672	5.368895909644795	62.205887304451224	8	13.079514957803351	0.07645543456513205	-2.6897338656587024	0.03968257926007482	0.5351667553636298	0.5190288889963656	3.904433945549546	50.61388056656918	39.63165736734162	17	11.015210675946992	0.09078355643107378	-2.620919853274291	0.06363416681392767	0.7072332560236443	0.7009437536437678	5.352107329754252	59.134111220934656
18m_be_172	18	m	be	172	6	7.979977483962654	0.1253136367877852	-2.257830320028249	0.08130787967091473	0.6589356007571904	0.6488350490426443	3.7644219562663492	31.674034495039095	5	17.084378264464824	0.05853300509506867	-2.9162813444722007	0.025058824037450963	0.45483122096684075	0.42811442871847594	2.700362863921979	49.54371672022222	28.018372420487008	11	10.530882401297477	0.09495880420018678	-2.5571262402300445	0.06908641292050002	0.6465985322906002	0.7275408899932644	6.384906702724039	56.62920617717753
18m_be_173	18	m	be	173	5	7.137419064228752	0.14010666755043016	-2.061783759169066	0.0725531906792647	0.4806753269929296	0.5178425263248077	10.738203449417478	69.19578799142457	5	13.357713884740017	0.07486310970789768	-2.6454548745733026	0.025469822537982315	0.37736499538189894	0.3402186021574706	4.58121252754292	65.1154052129016	34.82494640069108	10	9.303633401436763	0.10748488862916392	-2.353619316871184	0.061727460079963964	0.5105000126532194	0.5742896593858072	7.591674464041764	63.3564345036791
18m_be_174	18	m	be	174	9	9.366348279404887	0.10676519494783696	-2.3187973980746635	0.04789784147291795	0.4248793637675917	0.4486278650670731	3.9627579932318038	33.210323839097825	9	15.210245893580996	0.06574515671847346	-2.8549240961075832	0.0374380153392176	0.5411724363260154	0.5694414190771568	4.28276897255278	61.60739499945805	38.11084731056916	18	11.593507176129538	0.0862551758331552	-2.586860747091124	0.046739806435676885	0.546677875917656	0.5418782813229256	4.580598638883756	54.95932685507806
18m_be_175	18	m	be	175	9	11.307201917493469	0.08843920956721323	-2.6738469090309933	0.05295168190884083	0.8663208194242606	0.5987353592141492	5.480700616140865	79.36407340783465	9	15.543493797498291	0.06433560002841504	-2.9833796349654427	0.041246423559670654	0.8015239586540953	0.6411135287687282	5.038560606300288	84.80554949444888	42.11139270845869	18	13.091163427358847	0.07638740479781413	-2.8286132719982175	0.04768500353428757	0.8251476386835442	0.6242521743015428	4.002012405624382	57.62015724003828
18m_be_176	18	m	be	176	9	11.090518031629953	0.0901671136684525	-2.672053476999598	0.063917782064007	0.833846146947814	0.7088813145226632	7.596420631497798	89.85523820443954	9	14.348149672427807	0.06969539786176436	-2.796284656010645	0.03499723962373117	0.5773592404582707	0.5021456322431158	5.560483215902185	77.78000638367575	43.59708676827005	18	12.510750524659214	0.07993125576510843	-2.734169066505121	0.05108713854974607	0.6986792140658861	0.6391384454145735	4.950449731858848	59.519743810472406
18m_be_177	18	m	be	177	6	13.275190153384338	0.07532848783676842	-2.8723581006807	0.05068421043673422	0.9879746462491064	0.6728425313217938	6.255208765981942	85.37245907592211	5	16.274767457951977	0.06144481035342795	-2.871576300616034	0.02722284767825886	0.4572633829122321	0.44304551550691085	2.088980532559151	37.56953391062954	40.46708162608002	11	14.489031549661096	0.06901772534434093	-2.8720027370149426	0.04041593649483266	0.7560972411340102	0.5855877789827297	4.152437633048677	68.0909193851509
18m_be_178	18	m	be	178	9	9.820024005125468	0.10183274495847051	-2.458563547122638	0.05202866089010151	0.699969376527704	0.5109226988953295	4.054202634225431	54.35251291880853	9	17.341659542865738	0.05766460802255771	-2.991644868003673	0.030562610556994517	0.5732721313833936	0.530006387020593	4.269668611818998	73.939942429852	36.15395926314637	18	12.539393053362426	0.0797486764905141	-2.7251042075631555	0.04722109896468797	0.6785614170306402	0.592123920329948	5.9603375004258465	72.95338965906907
18m_be_179	18	m	be	179	5	7.6435959393894155	0.13082847496513295	-2.13965258232135	0.052938707232039375	0.5810535836514935	0.40464208763534126	4.5678247965197425	39.84521958307565	5	12.108825319633864	0.0825843939113193	-2.697289847824365	0.05679002912958219	0.7329566131965553	0.6876605426270296	6.791062707354969	86.49364860436468	38.69700751697809	10	9.371506088312925	0.10670643443822611	-2.418471215072858	0.057666844816267056	0.689346949841774	0.5404251872894433	5.52790975655374	55.83979893259756
18m_be_180	18	m	be	180	6	8.646403762918995	0.1156550199851416	-2.380941849236495	0.07339068138638023	0.8057590427732488	0.6345654637023871	9.04584398338996	80.46840833383915	5	11.366767774008576	0.08797575703856775	-2.5451098093652145	0.04842422690438073	0.5251456855159253	0.5504269418579939	7.169463785561916	74.5654603713082	38.79655409414968	11	9.701811258039143	0.10307353682760806	-2.4555636492950037	0.06196778248443719	0.6650453511828132	0.6011997297432335	5.053100264536381	49.97117736664368
18m_be_181	18	m	be	181	7	9.131467359755325	0.10951142468156341	-2.2616114905480935	0.03756190428463507	0.3415688856185858	0.34299530294539887	5.207214372337299	46.02003509310841	8	16.688189796017742	0.05992261666622628	-2.9119625409333167	0.025512728023823473	0.49735399974126837	0.42576124747574673	3.3943551049394385	55.483039091920105	38.47479732169424	15	12.038901001270284	0.08306406040671695	-2.608465384086879	0.039822936540759475	0.5352289488152884	0.4794243905940722	5.46679438951303	64.49374706013933
18m_be_182	18	m	be	182	5	9.85731336501184	0.10144752053327857	-2.327399034464154	0.03007863026622814	0.3217846344609241	0.29649448412454027	4.874717428634326	51.51872436773514	5	8.486354603066784	0.11783622612689573	-2.4623599446995534	0.11980711361574733	0.8484254520920784	1.0167256501131425	15.543519015392915	102.84377382568772	53.736871939490996	10	9.120603010762194	0.10964187333008715	-2.394879489581854	0.08280187066063305	0.6090995643078473	0.7552029908441116	8.66530933303652	67.4055910150799
18m_be_183	18	m	be	183	7	9.94164159757994	0.10058700971914201	-2.5126040930517513	0.06245650382933914	0.7689412731577346	0.6209201765091689	8.389800423266204	91.89333059255956	6	11.708588231584875	0.08540739329293502	-2.6207764328424505	0.049696146616810655	0.6523033092591597	0.5818717174327057	5.135421328943572	68.27629227429091	42.122634982652976	13	10.685926078560113	0.09358103290704647	-2.5625297883397664	0.05514969057875788	0.6899834648181635	0.5893255167800698	4.4086096043286895	52.870195158218834
18m_be_184	18	m	be	184	8	8.327014497149678	0.1200910602884501	-2.355938323618288	0.0658764812251485	0.8788230382232582	0.5485544141830202	3.854189742134707	55.684573514156966	7	19.843746806378615	0.05039370889768448	-3.1147893128530835	0.022900088742259798	0.5965002398506274	0.45442356284500474	2.224395054190971	51.116201053269805	26.85650094573668	15	11.42000581869571	0.08756562963942613	-2.710068785261193	0.06074534126129676	0.8319959973084494	0.6937121506626657	7.925792729584033	88.50915824127334
18m_be_185	18	m	be	185	4	8.293328490755592	0.12057884854249777	-2.51888567484985	0.08735183516259327	1.254319464975598	0.7244374632737208	5.980063310730331	74.37441998936094	3	8.370196122062014	0.11947151362011911	-2.233718644260975	0.058119881277918894	0.6156508456912341	0.48647480488714134	10.016732826533595	97.37970446290272	42.631352343534594	7	8.326098201495961	0.12010427643290691	-2.3966712331689033	0.07029577104328288	0.967592373365252	0.5852894928562494	7.209939652297083	69.71919359843369
18m_be_186	18	m	be	186	5	7.938264683601321	0.12597211605526032	-2.1011565007869746	0.037026507174128705	0.260662380450642	0.2939262142574969	3.5591455231109395	27.381021213949523	5	11.935196451405204	0.08378580143791968	-2.55113092811168	0.03123327724989613	0.4507963244564234	0.37277529979871515	3.456776309788075	49.03909023655278	39.944047137407274	10	9.534800992982909	0.10487895874659	-2.3261437144493273	0.03920761294785869	0.42042852134168013	0.37383678686773264	4.748920658258861	48.07324347256238
18m_be_187	18	m	be	187	6	6.128923066670856	0.16316080151797138	-1.9347310703361031	0.08634221536270224	0.5572272951507276	0.5291847953639285	7.548451644310197	47.79800242490297	5	14.553273875489898	0.06871306130534409	-2.868775956059796	0.04481076925897248	0.7329210362232534	0.6521433975972101	6.711151212891117	92.8724374278214	25.97788152157716	11	8.317390938747893	0.12023001051223171	-2.3592969274832356	0.08344771303709644	0.7797811025400875	0.6940672522739804	9.451845410422372	83.98170180872484
18m_be_188	18	m	be	188	6	9.190479186361614	0.10880825468643344	-2.4513328936287926	0.07603078009599054	0.777200855224598	0.6987593019950379	5.607710797966547	56.52113795637097	5	11.551575252472505	0.08656827992233869	-2.530264073019845	0.03901155300433932	0.45930953804456365	0.45064489024544546	3.6129594902535755	41.42453473300167	39.86782873064768	11	10.131796922164764	0.09869917524820854	-2.487210702442907	0.06028263158724243	0.6229813897979679	0.6107713811756152	4.289242103810013	44.28380138642282
